University,Month,Total Enrolments
University of Auckland,2008-03-01,38550
University of Auckland,2009-03-01,39935
University of Auckland,2010-03-01,40975
University of Auckland,2011-03-01,40380
University of Auckland,2012-03-01,40785
University of Auckland,2013-03-01,41365
University of Auckland,2014-03-01,41955
University of Auckland,2015-03-01,42100
University of Auckland,2016-03-01,41865
University of Waikato,2008-03-01,12185
University of Waikato,2009-03-01,13225
University of Waikato,2010-03-01,12840
University of Waikato,2011-03-01,12820
University of Waikato,2012-03-01,12885
University of Waikato,2013-03-01,12695
University of Waikato,2014-03-01,12520
University of Waikato,2015-03-01,12560
University of Waikato,2016-03-01,12390
Massey University,2008-03-01,33620
Massey University,2009-03-01,35610
Massey University,2010-03-01,34425
Massey University,2011-03-01,33215
Massey University,2012-03-01,33175
Massey University,2013-03-01,32135
Massey University,2014-03-01,31225
Massey University,2015-03-01,31205
Massey University,2016-03-01,31170
Victoria University of Wellington,2008-03-01,21930
Victoria University of Wellington,2009-03-01,22925
Victoria University of Wellington,2010-03-01,22880
Victoria University of Wellington,2011-03-01,22560
Victoria University of Wellington,2012-03-01,21195
Victoria University of Wellington,2013-03-01,21480
Victoria University of Wellington,2014-03-01,21190
Victoria University of Wellington,2015-03-01,21450
Victoria University of Wellington,2016-03-01,21950
University of Canterbury,2008-03-01,17375
University of Canterbury,2009-03-01,18320
University of Canterbury,2010-03-01,18495
University of Canterbury,2011-03-01,16190
University of Canterbury,2012-03-01,15545
University of Canterbury,2013-03-01,14645
University of Canterbury,2014-03-01,14465
University of Canterbury,2015-03-01,14570
University of Canterbury,2016-03-01,15305
Lincoln University,2008-01-01,9470
Lincoln University,2009-03-01,9075
Lincoln University,2010-03-01,8655
Lincoln University,2011-03-01,5745
Lincoln University,2012-03-01,6800
Lincoln University,2013-03-01,5850
Lincoln University,2014-03-01,4485
Lincoln University,2015-03-01,4605
Lincoln University,2016-03-01,4975
University of Otago,2008-03-01,20645
University of Otago,2009-03-01,21345
University of Otago,2010-03-01,21950
University of Otago,2011-03-01,21640
University of Otago,2012-03-01,21240
University of Otago,2013-03-01,20965
University of Otago,2014-03-01,20935
University of Otago,2015-03-01,20690
University of Otago,2016-03-01,20895
Auckland University of Technology,2008-03-01,23245
Auckland University of Technology,2009-03-01,24865
Auckland University of Technology,2010-03-01,26035
Auckland University of Technology,2011-03-01,25150
Auckland University of Technology,2012-03-01,25585
Auckland University of Technology,2013-03-01,25920
Auckland University of Technology,2014-03-01,26290
Auckland University of Technology,2015-03-01,26670
Auckland University of Technology,2016-03-01,27055
Total,2008-03-01,174755
Total,2009-03-01,182865
Total,2010-03-01,184225
Total,2011-03-01,175690
Total,2012-03-01,175325
Total,2013-03-01,173120
Total,2014-03-01,171255
Total,2015-03-01,172055
Total,2016-03-01,173880
