Months away from uni,Wellington,Victoria Enrolments,Massey Enrolments,GDP,Tax
2,172,,,,
1,178,,,,
0,181,,,,
1,176,,,,
2,183,,,,
3,180,,,,
4,180,,,,
5,174,,,,
6,177,,,,
5,175,,,,
4,173,,,,
3,184,,,,
2,183,,,,
1,185,,,,
0,185,,,,
1,185,,,,
2,179,,,,
3,182,,,,
4,181,,,,
5,185,,,,
6,188,,,,
5,182,,,,
4,189,,,,
3,187,,,,
2,190,,,,
1,191,,,,
0,192,,,,
1,188,,,,
2,195,,,,
3,194,,,,
4,193,,,,
5,192,,,,
6,196,,,,
5,195,,,,
4,198,,,,
3,204,,,,
2,205,,,,
1,208,,,,
0,206,,,,
1,204,,,,
2,212,,,,
3,210,,,,
4,209,,,,
5,212,,,,
6,209,,,,
5,216,,,,
4,219,,,,
3,225,,,,
2,215,,,,
1,222,,,,
0,221,,,,
1,224,,,,
2,221,,,,
3,227,,,,
4,222,,,,
5,222,,,,
6,224,,,,
5,219,,,,
4,226,,,,
3,227,,,,
2,228,,,,
1,230,,,,
0,236,,,,
1,232,,,,
2,231,,,,
3,228,,,,
4,234,,,,
5,225,,,,
6,229,,,,
5,230,,,,
4,228,,,,
3,227,,,,
2,236,,,,
1,241,,,,
0,234,,,,
1,231,,,,
2,233,,,,
3,229,,,,
4,236,,,,
5,233,,,,
6,237,,,,
5,231,,,,
4,244,,,,
3,233,,,,
2,243,,,,
1,249,,,,
0,241,,,,
1,224,,,,
2,230,,,,
3,239,,,,
4,238,,,,
5,234,,,,
6,231,,,,
5,239,,,,
4,231,,,,
3,238,,,,
2,241,,,,
1,251,,,,
0,246,,,,
1,244,,,,
2,238,,,,
3,224,,,,
4,238,,,,
5,240,,,,
6,242,,,,
5,236,,,,
4,244,,,,
3,240,,,,
2,250,,,,
1,260,,,,
0,253,,,,
1,227,,,,
2,247,,,,
3,244,,,,
4,248,,,,
5,245,,,,
6,246,,,,
5,242,,,,
4,253,,,,
3,251,,,,
2,256,,,,
1,270,,,,
0,269,,,,
1,257,,,,
2,243,,,,
3,257,,,,
4,257,,,,
5,243,,,,
6,248,,,,
5,263,,,,
4,258,,,,
3,256,,,,
2,269,,,,
1,286,,,,
0,280,,,,
1,231,,,,
2,266,,,,
3,264,,,,
4,267,,,,
5,274,,,,
6,268,,,,
5,269,,,,
4,271,,,,
3,270,,,,
2,280,,,,
1,295,,,,
0,291,,,,
1,278,,,,
2,240,,,,
3,277,,,,
4,278,,,,
5,276,,,,
6,279,,,,
5,277,,,,
4,284,,,,
3,280,,,,
2,293,,,,
1,319,,,,
0,306,,,,
1,298,,,,
2,294,,,,
3,245,,,,
4,290,,,,
5,295,,,,
6,305,,,,
5,296,,,,
4,303,,,,
3,307,,,,
2,312,,,,
1,344,,,,
0,340,,,,
1,319,,,,
2,314,,,,
3,324,,,,
4,317,,,,
5,294,,,,
6,317,,,,
5,321,,,,
4,338,,,,
3,338,,,,
2,341,,,,
1,375,,,,
0,364,21930,33720,25362000000,1918000000
1,350,,,,
2,295,,,,
3,344,,,,
4,350,,,,
5,339,,,,
6,336,,,,
5,339,,,,
4,347,,,,
3,354,,,,
2,346,,,,
1,364,,,,
0,362,22925,35610,26093000000,1937000000
1,353,,,,
2,367,,,,
3,347,,,,
4,343,,,,
5,335,,,,
6,351,,,,
5,345,,,,
4,348,,,,
3,361,,,,
2,363,,,,
1,396,,,,
0,362,22880,34425,27275000000,1998000000
1,375,,,,
2,366,,,,
3,351,,,,
4,350,,,,
5,358,,,,
6,355,,,,
5,348,,,,
4,374,,,,
3,364,,,,
2,371,,,,
1,384,,,,
0,393,22560,33215,28022000000,2203000000
1,364,,,,
2,361,,,,
3,357,,,,
4,345,,,,
5,359,,,,
6,361,,,,
5,354,,,,
4,361,,,,
3,373,,,,
2,378,,,,
1,399,,,,
0,395,21195,33175,29686000000,2491000000
1,383,,,,
2,375,,,,
3,359,,,,
4,353,,,,
5,361,,,,
6,350,,,,
5,365,,,,
4,365,,,,
3,374,,,,
2,386,,,,
1,398,,,,
0,406,21480,32135,30096000000,2558000000
1,393,,,,
2,382,,,,
3,374,,,,
4,366,,,,
5,371,,,,
6,367,,,,
5,366,,,,
4,368,,,,
3,377,,,,
2,401,,,,
1,422,,,,
0,415,,,,
1,392,21190,31225,31416000000,2605000000
2,392,,,,
3,384,,,,
4,371,,,,
5,375,,,,
6,375,,,,
5,377,,,,
4,374,,,,
3,404,,,,
2,406,,,,
1,420,,,,
0,438,21450,31205,32754000000,2741000000
1,410,,,,
2,389,,,,
3,405,,,,
4,384,,,,
5,391,,,,
6,379,,,,
5,376,,,,
4,399,,,,
3,404,,,,
2,409,,,,
1,450,,,,
0,448,21950,31170,34027000000,2882000000
1,432,,,,
2,411,,,,
3,410,,,,
4,407,,,,
5,408,,,,
6,396,,,,
5,405,,,,
4,417,,,,
3,454,,,,
2,439,,,,
1,468,,,,
0,470,,,,
1,455,,,,
2,436,,,,
3,433,,,,
4,429,,,,
5,423,,,,
6,430,,,,
5,431,,,,
4,440,,,,
3,482,,,,
2,473,,,,
1,516,,,,
0,503,,,,
1,481,,,,
2,455,,,,
3,458,,,,
4,453,,,,
